,sentence_text,e1,e2,relation_type,normalized_sentence
3553,"Antacids increase the rate of absorption of pseudoephedrine, while kaolin decreases it.",Antacids,pseudoephedrine,mechanism,"DRUG increase_be rate_be absorption_be OTHER_DRUG ,_af kaolin_af decreases_af ._af"
3555,"Antacids increase the rate of absorption of pseudoephedrine, while kaolin decreases it.",pseudoephedrine,kaolin,mechanism,"Antacids_bf increase_bf rate_bf absorption_bf DRUG ,_be OTHER_DRUG decreases_af ._af"
3558,Use with Allopurinol: The principal pathway for detoxification of azathioprine is inhibited by allopurinol.,azathioprine,allopurinol,mechanism,Use_bf Allopurinol:_bf The_bf principal_bf pathway_bf detoxification_bf DRUG inhibited_be OTHER_DRUG ._af
3575,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,atorvastatin,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be OTHER_DRUG ,_af carbamazepine_af ,_af cetirizine_af ,_af didanosine_af ,_af efavirenz_af ,_af fluconazole_af ,_af indinavir_af ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3576,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,carbamazepine,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be OTHER_DRUG ,_af cetirizine_af ,_af didanosine_af ,_af efavirenz_af ,_af fluconazole_af ,_af indinavir_af ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3577,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,cetirizine,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be OTHER_DRUG ,_af didanosine_af ,_af efavirenz_af ,_af fluconazole_af ,_af indinavir_af ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3578,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,didanosine,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be OTHER_DRUG ,_af efavirenz_af ,_af fluconazole_af ,_af indinavir_af ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3579,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,efavirenz,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be OTHER_DRUG ,_af fluconazole_af ,_af indinavir_af ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3580,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,fluconazole,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be OTHER_DRUG ,_af indinavir_af ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3581,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,indinavir,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be OTHER_DRUG ,_af midazolam_af ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3582,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,midazolam,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be OTHER_DRUG ,_af rifabutin_af ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3583,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,rifabutin,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be OTHER_DRUG ,_af sildenafil_af ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3584,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,sildenafil,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be rifabutin_be ,_be OTHER_DRUG ,_af theophylline_af (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3585,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,theophylline,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be rifabutin_be ,_be sildenafil_be ,_be OTHER_DRUG (intravenous_af oral)_af ,_af triazolam_af ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3586,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,triazolam,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be rifabutin_be ,_be sildenafil_be ,_be theophylline_be (intravenous_be oral)_be ,_be OTHER_DRUG ,_af trimethoprim/sulfamethoxazole_af zidovudine_af ._af"
3587,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,trimethoprim,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be rifabutin_be ,_be sildenafil_be ,_be theophylline_be (intravenous_be oral)_be ,_be triazolam_be ,_be trimethoprim/sulfamethoxazole_be zidovudine_be ._be"
3588,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,sulfamethoxazole,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be rifabutin_be ,_be sildenafil_be ,_be theophylline_be (intravenous_be oral)_be ,_be triazolam_be ,_be trimethoprim/sulfamethoxazole_be zidovudine_be ._be"
3589,"When used in therapeutic doses, azithromycin had a modest effect on the pharmacokinetics of atorvastatin, carbamazepine, cetirizine, didanosine, efavirenz, fluconazole, indinavir, midazolam, rifabutin, sildenafil, theophylline (intravenous and oral), triazolam, trimethoprim/sulfamethoxazole or zidovudine.",azithromycin,zidovudine,mechanism,"When_bf used_bf therapeutic_bf doses_bf ,_bf DRUG modest_be effect_be pharmacokinetics_be atorvastatin_be ,_be carbamazepine_be ,_be cetirizine_be ,_be didanosine_be ,_be efavirenz_be ,_be fluconazole_be ,_be indinavir_be ,_be midazolam_be ,_be rifabutin_be ,_be sildenafil_be ,_be theophylline_be (intravenous_be oral)_be ,_be triazolam_be ,_be trimethoprim/sulfamethoxazole_be OTHER_DRUG ._af"
3696,Co-administration with efavirenz or fluconazole had a modest effect on the pharmacokinetics of azithromycin.,efavirenz,azithromycin,mechanism,Co-administration_bf DRUG fluconazole_be modest_be effect_be pharmacokinetics_be OTHER_DRUG ._af
3697,Co-administration with efavirenz or fluconazole had a modest effect on the pharmacokinetics of azithromycin.,fluconazole,azithromycin,mechanism,Co-administration_bf efavirenz_bf DRUG modest_be effect_be pharmacokinetics_be OTHER_DRUG ._af
3736,"Total body clearance of Simulect was reduced by an average 22% and 51% when azathioprine and mycophenolate mofetil, respectively, were added to a regimen consisting of cyclosporine, USP (MODIFIED) and corticosteroids.",Simulect,azathioprine,mechanism,"Total_bf body_bf clearance_bf DRUG reduced_be average_be 22%_be 51%_be OTHER_DRUG mycophenolate_af mofetil_af ,_af respectively_af ,_af added_af regimen_af consisting_af cyclosporine_af ,_af USP_af (MODIFIED)_af corticosteroids_af ._af"
3737,"Total body clearance of Simulect was reduced by an average 22% and 51% when azathioprine and mycophenolate mofetil, respectively, were added to a regimen consisting of cyclosporine, USP (MODIFIED) and corticosteroids.",Simulect,mycophenolate mofetil,mechanism,"Total_bf body_bf clearance_bf DRUG reduced_be average_be 22%_be 51%_be azathioprine_be mycophenolate_be mofetil_be ,_be respectively_be ,_be added_be regimen_be consisting_be cyclosporine_be ,_be USP_be (MODIFIED)_be corticosteroids_be ._be"
3808,Lithium: Increased serum lithium levels and symptoms of lithium toxicity have been reported in patients receiving ACE inhibitors during therapy with lithium.,ACE inhibitors,lithium,mechanism,Lithium:_bf Increased_bf serum_bf OTHER_DRUG levels_be symptoms_be OTHER_DRUG toxicity_af reported_af patients_af receiving_af ACE_af inhibitors_af therapy_af OTHER_DRUG ._af
3874,Urinary acidifying agents decrease blood levels and increase excretion of amphetamines.,Urinary acidifying,amphetamines,mechanism,Urinary_bf acidifying_bf agents_bf decrease_bf blood_bf levels_bf increase_bf excretion_bf OTHER_DRUG ._be
3923,"Digoxin: In controlled studies in healthy volunteers, bepridil hydrochloride either had no effect (one study) or was associated with modest increases, about 30% (two studies) in steady-state serum digoxin concentrations.",bepridil hydrochloride,digoxin,mechanism,"Digoxin:_bf In_bf controlled_bf studies_bf healthy_bf volunteers_bf ,_bf bepridil_bf hydrochloride_bf either_bf effect_bf (one_bf study)_bf associated_bf modest_bf increases_bf ,_bf 30%_bf (two_bf studies)_bf steady-state_bf serum_bf OTHER_DRUG concentrations_be ._be"
4009,"On the basis of the metabolism of bexarotene by cytochrome P450 3A4, ketoconazole, itraconazole, erythromycin, gemfibrozil, grapefruit juice, and other inhibitors of cytochrome P450 3A4 would be expected to lead to an increase in plasma bexarotene concentrations.",ketoconazole,bexarotene,mechanism,"On_bf basis_bf metabolism_bf OTHER_DRUG cytochrome_be P450_be 3A4_be ,_be DRUG ,_af itraconazole_af ,_af erythromycin_af ,_af gemfibrozil_af ,_af grapefruit_af juice_af ,_af inhibitors_af cytochrome_af P450_af 3A4_af would_af expected_af lead_af increase_af plasma_af OTHER_DRUG concentrations_af ._af"
4012,"On the basis of the metabolism of bexarotene by cytochrome P450 3A4, ketoconazole, itraconazole, erythromycin, gemfibrozil, grapefruit juice, and other inhibitors of cytochrome P450 3A4 would be expected to lead to an increase in plasma bexarotene concentrations.",itraconazole,bexarotene,mechanism,"On_bf basis_bf metabolism_bf OTHER_DRUG cytochrome_be P450_be 3A4_be ,_be ketoconazole_be ,_be DRUG ,_af erythromycin_af ,_af gemfibrozil_af ,_af grapefruit_af juice_af ,_af inhibitors_af cytochrome_af P450_af 3A4_af would_af expected_af lead_af increase_af plasma_af OTHER_DRUG concentrations_af ._af"
4014,"On the basis of the metabolism of bexarotene by cytochrome P450 3A4, ketoconazole, itraconazole, erythromycin, gemfibrozil, grapefruit juice, and other inhibitors of cytochrome P450 3A4 would be expected to lead to an increase in plasma bexarotene concentrations.",erythromycin,bexarotene,mechanism,"On_bf basis_bf metabolism_bf OTHER_DRUG cytochrome_be P450_be 3A4_be ,_be ketoconazole_be ,_be itraconazole_be ,_be DRUG ,_af gemfibrozil_af ,_af grapefruit_af juice_af ,_af inhibitors_af cytochrome_af P450_af 3A4_af would_af expected_af lead_af increase_af plasma_af OTHER_DRUG concentrations_af ._af"
4015,"On the basis of the metabolism of bexarotene by cytochrome P450 3A4, ketoconazole, itraconazole, erythromycin, gemfibrozil, grapefruit juice, and other inhibitors of cytochrome P450 3A4 would be expected to lead to an increase in plasma bexarotene concentrations.",gemfibrozil,bexarotene,mechanism,"On_bf basis_bf metabolism_bf OTHER_DRUG cytochrome_be P450_be 3A4_be ,_be ketoconazole_be ,_be itraconazole_be ,_be erythromycin_be ,_be DRUG ,_af grapefruit_af juice_af ,_af inhibitors_af cytochrome_af P450_af 3A4_af would_af expected_af lead_af increase_af plasma_af OTHER_DRUG concentrations_af ._af"
